Developer,
1.11,1
4Sho Games LLC,2
A Thinking Ape Entertainment Ltd.,3
A Trillion Games Ltd,4
Alegrium,5
Alictus,6
Alpha Dog Games,7
Andrey Dobroradnykh,8
ANGames,9
AppLife Ltd,10
Atari,11
"Auxbrain, Inc.",12
Azur Interactive Games Limited,13
Backflip Studios,14
Banana & Co.,15
Beetroot Lab,16
bitbros Inc.,17
"Black Cigar Apps, LLC",18
BlankMediaGames,19
Block Puzzle Games,20
Bosi Lv,21
Boy Howdy Technology LLC,22
Brainium Studios LLC,23
Brandon Stecklein,24
Bulong Chen,25
Bytro Labs GmbH,26
Chess.com,27
ChimpWorks,28
"Clickteam, LLC",29
Clifton Garage Mobile LLC,30
Codebrew Games Inc.,31
Codito Development Inc.,32
ColdFire Games,33
"Concrete Software, Inc.",34
Crazy Panda Limited,35
Czech Games Edition,36
Da peng Sun,37
Daniel Glaser,38
David Peroutka,39
Developpement Logiciels XenyGames Inc.,40
DevStone,41
Digital Things,42
Dmitry Gushchin,43
DoubleJump Games Inc.,44
Dragonest,45
Ember Entertainment,46
eRepublik Labs,47
Erric Blarry,48
Feelingtouch Inc.,49
Felipe B. Valio,50
Firefly Studios,51
Flipline Studios,52
FlowMotion Entertainment,53
Flyclops,54
Foursaken Media,55
Fufla SIA,56
Fumb Games Ltd.,57
Fun Games For Free,58
Gaea Mobile Ltd,59
Game Circus LLC,60
GAME KNIGHT NETWORK TECHNOLOGY LIMITED,61
GameCoaster,62
GameSamba Corporation,63
GammaLateral LLC,64
Gear Games,65
Gold Town Games AB,66
Green Panda Games,67
Greener Grass,68
GRL Games,69
Haptic Apps LLC,70
HexWar Games Ltd,71
Hiker Games Joint Stock Company,72
Homa Games,73
HONGGENG YU,74
Hunted Cow Studios Ltd.,75
"Hypergames, Inc.",76
IGG.COM,77
Ilyon Dynamics Ltd.,78
InnoGames,79
Janus Anderson,80
jiazhou Zhang,81
JOYCITY Corp,82
Joycrafter,83
"Joyloft Co., Limited",84
June Gaming,85
"Kabam Games, Inc.",86
KANO/APPS,87
Kieffer Bros.,88
KingsGroup Holdings,89
KIXEYE,90
Kolibri Games GmbH,91
Kongregate,92
Ksenia Aprelkova,93
Lamb Damu Pte. Ltd.,94
"LDW Software, LLC",95
League of Geeks,96
Leigh Be,97
"LEXIANGCO.,LIMITED",98
Lion Studios,99
Little Lost Fox,100
MACHBIRD TECHNOLOGY LIMITED,101
Macrobian Games,102
MADBOX,103
Madhav Patel,104
Marine Parker,105
MarkApp Co. Ltd,106
Mikko Kankainen,107
Monstro Games,108
Moonmana,109
Muhammad Ifran,110
"MunkyFun, Inc.",111
Murat Kul,112
NCSOFT Games,113
Ndemic Creations,114
NetEase Games,115
NEXON M Inc.,116
Niklas Ungman,117
Ninja Kiwi,118
Nishita Shah,119
NoGame Ltd,120
Noodlecake Studios Inc,121
North Star Games,122
NUTS POWER ONLINE ENTERTAINMENT LIMITED,123
Octigo,124
OOO Rhyboo,125
out thinking limited,126
pavsich aljosa,127
Pixel Pros,128
PIXIO LIMITED,129
Plarium Global Ltd,130
PlayFusion Ltd.,131
PopReach Incorporated,132
Promotion Software GmbH,133
Puzzle Games Factory,134
Randy Ficker,135
Rappid Studios PC,136
Raw Fury,137
Robert Grzybek,138
"RoboNacho Systems, LLC",139
Rockbite Games,140
"Rogue Games, Incorporated",141
Romit Dodhia,142
Round Zero,143
SAD PUPPY,144
SayGames LLC,145
Sean O'Connor,146
SEGA,147
Shengqiang Xia,148
"Shenzhen Qianhai Leyi Network Technology Co., Ltd.",149
"Shenzhen Yunbu Technology Co.,LTD",150
Sillysoft Games,151
Simutronics Corp,152
SMG Studio,153
SOULGAME INFORMATION CO LTD,154
Sparkling Society,155
"Spiffcode, Inc.",156
Spinbot,157
Stick Sports Ltd,158
Storm8 Studios,159
"Sunborn Network Technology Co., Ltd.",160
"Tapinator, Inc.",161
Tapps Tecnologia da Informa\xe7\xe3o Ltda.,162
Tilting Point,163
Titan Mobile LLC,164
Toast - Apps and Software LLC,165
TOJOY GAME,166
Topebox Co. Ltd.,167
"Translimit, Inc.",168
Vexigo Inc,169
Vintolo Ltd,170
Vishal Sanap,171
VisualShower Corp.,172
Vitaliy Sidorov,173
WebAvenue Unipessoal Lda,174
Wenwen Zhong,175
"WESTLAKE TECHNOLOGIES CO., PTE. LTD.",176
White Wizard Games,177
"Wildworks, Inc.",178
Wojciech Grzesik,179
"WSC Solitaire, LLC",180
Wulven Game Studios,181
Xiaoyu Ren,182
Yangcheng Liu,183
Yizhan Ye,184
YONG OK PARK,185
Youda Games Holding B.V.,186
Yso Corp,187
yu liu,188
Yuanli Wang,189
Yuri Barbashov,190
Z4,191
zhe zhang,192
Zillion Whales,193
ZlongGames,194
